pure_comments,sinhala_texts,pure_unicodes,unique_emojis,polarity_emotions,polarity,emotion,polarity_ID,emotions_ID
හමුදා     අපේ කොල්ලන්ට ගහනවාdog dog dog,හමුදා     අපේ කොල්ලන්ට ගහනවා  ,dog dog dog,dog, negative anger,negative,anger,2,4
අපි දැක්ක  දෙයියනේ   මේ අපේ  සිංහයෝ   උබලට  හොද  අනහතයක්   ආදරෙයිred_heart  red_heart  red_heart  red_heart  red_heart  red_heart  red_heart  red_heart  red_heart  red_heart ,අපි දැක්ක  දෙයියනේ   මේ අපේ  සිංහයෝ   උබලට  හොද  අනහතයක්   ආදරෙයි                   ,red_heart  red_heart  red_heart  red_heart  red_heart  red_heart  red_heart  red_heart  red_heart  red_heart , red_heart, positive love,positive,love,0,0
අපේ රට වෙනුවෙන් එකතුවී සිටින සියලුම දෙනාටම කිසිම කරදරයක් වෙන්න එපා අරගලයට ජය වේවා folded_hands folded_hands folded_hands  flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps,අපේ රට වෙනුවෙන් එකතුවී සිටින සියලුම දෙනාටම කිසිම කරදරයක් වෙන්න එපා අරගලයට ජය වේවා         ,folded_hands folded_hands folded_hands  flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps, flexed_biceps folded_hands, positive joy,positive,joy,0,2
නිවාඩුවට ගමේ එන්නකෝ ඔයාලාslightly_smiling_face,නිවාඩුවට ගමේ එන්නකෝ ඔයාලා,slightly_smiling_face,slightly_smiling_face, neutral sarcasm,neutral,sarcasm,1,3
සිරසට හම්බෙන ක්රෙඩිට් එක එසේ මෙසේ එකක් නෙමෙයිud    red_heart red_heart red_heart,සිරසට හම්බෙන ක්රෙඩිට් එක එසේ මෙසේ එකක් නෙමෙයි      ,ud    red_heart red_heart red_heart, ud red_heart, positive love,positive,love,0,0
සිරස ඇත්තමයි ජනතාව සමඟ folded_hands heart_suit  red_heart    raised_fist victory_hand ,සිරස ඇත්තමයි ජනතාව සමඟ          , folded_hands heart_suit  red_heart    raised_fist victory_hand , victory_hand heart_suit raised_fist folded_hands red_heart, positive love,positive,love,0,0
දරුවනේ උබල වාසනාවන්තයි  ඔහොම වත් බලා ගන්න පුළුවන් උනාදුවල පුතාලට ජය වේවා folded_hands folded_hands,දරුවනේ උබල වාසනාවන්තයි  ඔහොම වත් බලා ගන්න පුළුවන් උනාදුවල පුතාලට ජය වේවා  ,folded_hands folded_hands,folded_hands, positive love,positive,love,0,0
අරගලයට ජයවේවා   සිරස ට ජයවේවා folded_hands folded_hands folded_hands _hand _hand,අරගලයට ජයවේවා   සිරස ට ජයවේවා     ,folded_hands folded_hands folded_hands _hand _hand,_hand folded_hands, positive love,positive,love,0,0
ලක්මාතාවගේ වීර පුතුන්ට විර දුවරැන්ට මාගේ උත්තමා චාරය පුදකරමී red_heart  _hand folded_hands,ලක්මාතාවගේ වීර පුතුන්ට විර දුවරැන්ට මාගේ උත්තමා චාරය පුදකරමී    ,red_heart  _hand folded_hands, _hand folded_hands red_heart, positive love,positive,love,0,0
අරගලයට ජයවේවා flexed_biceps person_raising_hand,අරගලයට ජයවේවා  ,flexed_biceps person_raising_hand,flexed_biceps person_raising_hand, positive love,positive,love,0,0
අරගලයේ මුල සිටම ජනතාවගේ පැත්තේ සිටි එකම මාද්ය ආයතනය සිරසට ස්තුතියි ud red_heart  red_heart  folded_hands,අරගලයේ මුල සිටම ජනතාවගේ පැත්තේ සිටි එකම මාද්ය ආයතනය සිරසට ස්තුතියි      ,ud red_heart  red_heart  folded_hands, ud folded_hands red_heart, positive love,positive,love,0,0
ත්රිවිධ හමුදාවම එක හොරෙක් රකිද්දි මේ රටේ මහජනතාව රකින්නේ කව්ද ඇයි මේ මානුෂිය හමුදාව මේ විදියට හැසිරෙන්නේ  ud   crying_face,ත්රිවිධ හමුදාවම එක හොරෙක් රකිද්දි මේ රටේ මහජනතාව රකින්නේ කව්ද ඇයි මේ මානුෂිය හමුදාව මේ විදියට හැසිරෙන්නේ     ,ud   crying_face, ud crying_face, negative sad,negative,sad,2,1
 සුපිරි නියමයි රත්තරන් ලා සුපිරි ම_hand, සුපිරි නියමයි රත්තරන් ලා සුපිරි ම,_hand,_hand, positive joy,positive,joy,0,2
සිරස thumbs_up thumbs_up thumbs_up kiss_mark kiss_mark kiss_mark kiss_mark red_heart  red_heart  red_heart  rose rose rose rose rose rose,සිරස                   ,thumbs_up thumbs_up thumbs_up kiss_mark kiss_mark kiss_mark kiss_mark red_heart  red_heart  red_heart  rose rose rose rose rose rose, thumbs_up kiss_mark rose red_heart, neutral joy,neutral,joy,1,2
මූ යකෝ face_with_tears_of_joy,මූ යකෝ ,face_with_tears_of_joy,face_with_tears_of_joy, positive joy,positive,joy,0,2
රන්ජා fire handshake,රන්ජා  ,fire handshake,handshake fire, neutral joy,neutral,joy,1,2
ලංකාවේ නය ට්ර්ලියන  මහින්ද රාජපක්ෂගෙ වත්කම ට්ර්ලියන යි මත්ර්රීපාල සිරිසෙනගෙ වත්කම ට්ර්ලියන යි පාලකයන් පොහොසත් වෙලා රට නය වෙන්න හෙතුව තෙරෙන්න ඇති කියලා හිතෙනවා ud   ud   ud ud ud   smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes,ලංකාවේ නය ට්ර්ලියන  මහින්ද රාජපක්ෂගෙ වත්කම ට්ර්ලියන යි මත්ර්රීපාල සිරිසෙනගෙ වත්කම ට්ර්ලියන යි පාලකයන් පොහොසත් වෙලා රට නය වෙන්න හෙතුව තෙරෙන්න ඇති කියලා හිතෙනවා             ,ud   ud   ud ud ud   smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes, smiling_face_with_smiling_eyes ud, neutral sarcasm,neutral,sarcasm,1,3
රන්ජන් අයියේ ජාතික ජනබලවේගය එක්ක එකතුවෙන්නඅනිවාර්යෙන්ම ඔයාව පිළිගන්නවා කියල විශ්වාසයි  ud   smiling_face_with_hearts,රන්ජන් අයියේ ජාතික ජනබලවේගය එක්ක එකතුවෙන්නඅනිවාර්යෙන්ම ඔයාව පිළිගන්නවා කියල විශ්වාසයි     , ud   smiling_face_with_hearts, smiling_face_with_hearts ud, positive love,positive,love,0,0
එල කතාව නේද  මල්ලි   smiling_face_with_hearteyes,එල කතාව නේද  මල්ලි   ,  smiling_face_with_hearteyes, smiling_face_with_hearteyes, positive love,positive,love,0,0
රන්ජන් අයියෙ පරිස්සමින් ඔයාලා වගේ අයව හොරු එලියෙ තියන්න කැමති නැහැ අපට ඔයාලා වගෙ අය ඉන්න ඕනා අහිංසක මිනිස්සු වෙනුවෙන් ඇත්තටම ඉන්නේ ඔයා වගෙ අය අපි  දැනුවත්ව කව්රුත් නැහැ වෙන ඔයා වගේ ඇත්තටම මිනිස්සුන්ට අදරෙ කරන මනුස්සයෙක් folded_hands thumbs_up,රන්ජන් අයියෙ පරිස්සමින් ඔයාලා වගේ අයව හොරු එලියෙ තියන්න කැමති නැහැ අපට ඔයාලා වගෙ අය ඉන්න ඕනා අහිංසක මිනිස්සු වෙනුවෙන් ඇත්තටම ඉන්නේ ඔයා වගෙ අය අපි  දැනුවත්ව කව්රුත් නැහැ වෙන ඔයා වගේ ඇත්තටම මිනිස්සුන්ට අදරෙ කරන මනුස්සයෙක්  ,folded_hands thumbs_up,folded_hands thumbs_up, positive joy,positive,joy,0,2
අනේ මට සල්ලි තිබ්බානම් ජනාධිපති වෙලා ගෙරියෝ ඔක්කොම මිනිස්සු ඉස්සරහාම හම ගහලා මරන්ඩ තිබ්බාලබන ආත්මේ මනුස්සයෙක් වෙනවානම් හොද සල්ලි කාර පවුලක උපදින්ඩ කියලා පාර්තනා කරනවාface_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth   folded_hands folded_hands,අනේ මට සල්ලි තිබ්බානම් ජනාධිපති වෙලා ගෙරියෝ ඔක්කොම මිනිස්සු ඉස්සරහාම හම ගහලා මරන්ඩ තිබ්බාලබන ආත්මේ මනුස්සයෙක් වෙනවානම් හොද සල්ලි කාර පවුලක උපදින්ඩ කියලා පාර්තනා කරනවා      ,face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth   folded_hands folded_hands, face_with_symbols_on_mouth folded_hands, negative anger,negative,anger,2,4
 ඇත්ත කතාවred_heart red_heart, ඇත්ත කතාව ,red_heart red_heart,red_heart, positive love,positive,love,0,0
මේගොල්ලෝ ඔක්කොම යාළුවො මල්ලී rolling_on_the_floor_laughing,මේගොල්ලෝ ඔක්කොම යාළුවො මල්ලී ,rolling_on_the_floor_laughing,rolling_on_the_floor_laughing, positive sarcasm,positive,sarcasm,0,3
ජව්පෙ න් අයින් වෙලානෙ නම් කියවුනු උදවිය  හොරකම්  කලේදෑත් ශක්තිමත්  කරන්න  කියලනෙ ගියේ   beaming_face_with_smiling_eyes,ජව්පෙ න් අයින් වෙලානෙ නම් කියවුනු උදවිය  හොරකම්  කලේදෑත් ශක්තිමත්  කරන්න  කියලනෙ ගියේ   ,   beaming_face_with_smiling_eyes, beaming_face_with_smiling_eyes, positive sarcasm,positive,sarcasm,0,3
බල්ලෝ බල්ලන්ට එකතු වෙනවා දකින විට හරිම සතුටුයි ඕයි zany_face zany_face zany_face zany_face zany_face zany_face,බල්ලෝ බල්ලන්ට එකතු වෙනවා දකින විට හරිම සතුටුයි ඕයි      ,zany_face zany_face zany_face zany_face zany_face zany_face,zany_face, negative anger,negative,anger,2,4
අපි ත් මෙපාර මාලිමාව ටම තමයි sign_of_the_horns sign_of_the_horns sign_of_the_horns,අපි ත් මෙපාර මාලිමාව ටම තමයි   ,sign_of_the_horns sign_of_the_horns sign_of_the_horns,sign_of_the_horns, positive joy,positive,joy,0,2
රංජන් තිත්ත ඇත්ත වශයෙන්ම දුප්පතාගේහිතවතේක් වෙන්න ජයවේවා      red_heart  red_heart  red_heart  red_heart   ,රංජන් තිත්ත ඇත්ත වශයෙන්ම දුප්පතාගේහිතවතේක් වෙන්න ජයවේවා               ,     red_heart  red_heart  red_heart  red_heart   , red_heart, positive love,positive,love,0,0
රන්ජන්ට රටෙ මාලිගාවමාලිමාවම තමයි  folded_hands tulip,රන්ජන්ට රටෙ මාලිගාවමාලිමාවම තමයි   ,  folded_hands tulip, tulip folded_hands, neutral joy,neutral,joy,1,2
ජය ජය ඔබතුමාත් එකතු වෙන්න   thumbs_up thumbs_up flexed_biceps,ජය ජය ඔබතුමාත් එකතු වෙන්න     ,  thumbs_up thumbs_up flexed_biceps, flexed_biceps thumbs_up, positive joy,positive,joy,0,2
මාලිමාවට ජය වේවා red_heart  red_heart  red_heart  red_heart ,මාලිමාවට ජය වේවා        ,red_heart  red_heart  red_heart  red_heart , red_heart, positive love,positive,love,0,0
මාළිමාව ට   ගැලපෙන    චරිතයක්   rose thumbs_up,මාළිමාව ට   ගැලපෙන    චරිතයක්    , rose thumbs_up, rose thumbs_up, neutral joy,neutral,joy,1,2
බෙදුවා නේද හතර වටේටපට්ට ඕයිහොරාට හොරා කියලා ප්රසිද්ධියේ කියන්න තිබ්බ කොන්දටරෙස්පෙක්ට්      ud       _hand,බෙදුවා නේද හතර වටේටපට්ට ඕයිහොරාට හොරා කියලා ප්රසිද්ධියේ කියන්න තිබ්බ කොන්දටරෙස්පෙක්ට්             ,      ud       _hand, _hand ud, positive joy,positive,joy,0,2
රන්ජන් ව ජනාධිපති කලා නම් ලංකාවේ අනිවාර්යයෙන් මේ රට දියුණු වෙනවා වෙනවාමයි         red_heart  fire thumbs_up clapping_hands,රන්ජන් ව ජනාධිපති කලා නම් ලංකාවේ අනිවාර්යයෙන් මේ රට දියුණු වෙනවා වෙනවාමයි             ,         red_heart  fire thumbs_up clapping_hands, thumbs_up fire clapping_hands red_heart, positive joy,positive,joy,0,2
රංජන් මාලිමාවෙ ඉන්න එක හොරෙක් කියපන් face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,රංජන් මාලිමාවෙ ඉන්න එක හොරෙක් කියපන්   ,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,face_with_tears_of_joy, negative sarcasm,negative,sarcasm,2,3
රන්ජන් මහතයා  compass red_heart ,රන්ජන් මහතයා    ,compass red_heart , compass red_heart, positive joy,positive,joy,0,2
විනය හික්මීම නීතී ගරුක බව වැඩිපුර ඇත්තේ ජාතික ජනබල වේගයේයි දිනවමු අපේ රට මාලිමාවෙන්    thumbs_up thumbs_up thumbs_up,විනය හික්මීම නීතී ගරුක බව වැඩිපුර ඇත්තේ ජාතික ජනබල වේගයේයි දිනවමු අපේ රට මාලිමාවෙන්      ,  thumbs_up thumbs_up thumbs_up, thumbs_up, positive joy,positive,joy,0,2
අනේ රන්ජන් මහත්තයො මාලිමාවට නිලවසයෙන් යන්නකොඑතකොට හතේ දෙගිඩියාවක් නැතිව දෙන්න පුලුවන්හොරු අල්ලන්න කියාපු මිනිහ ඔයා විතරයි    folded_hands folded_hands,අනේ රන්ජන් මහත්තයො මාලිමාවට නිලවසයෙන් යන්නකොඑතකොට හතේ දෙගිඩියාවක් නැතිව දෙන්න පුලුවන්හොරු අල්ලන්න කියාපු මිනිහ ඔයා විතරයි     ,    folded_hands folded_hands, folded_hands, positive joy,positive,joy,0,2
ගින්දර වචන ටික thumbs_up thumbs_up thumbs_up thumbs_up,ගින්දර වචන ටික    ,thumbs_up thumbs_up thumbs_up thumbs_up,thumbs_up, positive joy,positive,joy,0,2
රංජගෙ කතාව පට්ට කීදවසක් මූව පණපිටින් තියයිද දන්නෙ නැහැ මුං දැන්   disappointed_face,රංජගෙ කතාව පට්ට කීදවසක් මූව පණපිටින් තියයිද දන්නෙ නැහැ මුං දැන්   ,  disappointed_face, disappointed_face, positive sad,positive,sad,0,1
ආසම ගින්දර චරිතයක් victory_hand fire,ආසම ගින්දර චරිතයක්  ,victory_hand fire,fire victory_hand, positive joy,positive,joy,0,2
මලිමාවට ජයවේවා red_heart ,මලිමාවට ජයවේවා  ,red_heart , red_heart, positive love,positive,love,0,0
මාලිමාව flexed_biceps,මාලිමාව ,flexed_biceps,flexed_biceps, neutral joy,neutral,joy,1,2
රන්ජන් ඔයා ඉතිහාසගතවෙයිඑන්න මාලිමාවටරටෙ අනාගතේ සුරකින නායකයෙක් වෙන්න         oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist,රන්ජන් ඔයා ඉතිහාසගතවෙයිඑන්න මාලිමාවටරටෙ අනාගතේ සුරකින නායකයෙක් වෙන්න                    ,         oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist oncoming_fist, oncoming_fist, positive joy,positive,joy,0,2
මාලිමාවට ජය thumbs_up grinning_face,මාලිමාවට ජය  ,thumbs_up grinning_face,grinning_face thumbs_up, positive joy,positive,joy,0,2
ලොකු වෙනසක් කරන්න කාලය හරි ඔබ තුමාට පුළුවන් ඒ වෙනුවෙන් වෙනස් වෙන්න මාලිමාවට ජය  victory_hand,ලොකු වෙනසක් කරන්න කාලය හරි ඔබ තුමාට පුළුවන් ඒ වෙනුවෙන් වෙනස් වෙන්න මාලිමාවට ජය  , victory_hand, victory_hand, positive joy,positive,joy,0,2
මාලිමාව ආනගතයේ වෙනසක් කරන මිනිසුන්ගේ  එකම බලාපොරොත්තුවයි  compass folded_hands check_mark_button cross_mark_button,මාලිමාව ආනගතයේ වෙනසක් කරන මිනිසුන්ගේ  එකම බලාපොරොත්තුවයි     , compass folded_hands check_mark_button cross_mark_button, compass cross_mark_button folded_hands check_mark_button, neutral joy,neutral,joy,1,2
රන්ජන් මහත්තයෝ ගෙවෙන තප්පරයත් වටිනවා එන්න  ට රට ගොඩ ගන්නstopwatch  stopwatch  stopwatch          folded_hands folded_hands folded_hands,රන්ජන් මහත්තයෝ ගෙවෙන තප්පරයත් වටිනවා එන්න  ට රට ගොඩ ගන්න                ,stopwatch  stopwatch  stopwatch          folded_hands folded_hands folded_hands, folded_hands stopwatch, positive joy,positive,joy,0,2
උන් ඔක්කොම හොරු මල්ලී two_hearts folded_hands,උන් ඔක්කොම හොරු මල්ලී  ,two_hearts folded_hands,folded_hands two_hearts, negative joy,negative,joy,2,2
ඔය වගේ කතාවක් අහන්නේ ඔය කට්න් විතරඉ  thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up starstruck smiling_face_with_hearteyes,ඔය වගේ කතාවක් අහන්නේ ඔය කට්න් විතරඉ                                          ,thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up starstruck smiling_face_with_hearteyes,smiling_face_with_hearteyes starstruck thumbs_up, neutral joy,neutral,joy,1,2
ජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාred_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart,ජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවාජාතික ජන බලවේගයට ජය වේවාජාතික ජන බලවේගයට ජයවේවාජාතික ජන බලවේගයට  ජයවේවා                                                                                   ,red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart,red_heart, positive love,positive,love,0,0
රන්ජන් මහත්මයා ඔය දේශපාලනය නම් කතා කරන්න එපා ඒක වෙලාව නෙවෙයි මෙ ආයම ඔබට හිරෙ දාන්න වැඩ කරයි එහෙම නැති නමි ඇත්ත කතා කරන්න ගිහිල්ලා ජිවිතය දන් දෙන්නට උනා මෙ ලෝකයේ වෙලාව එන තුරැ රැදි සිටින්න මෙ කලාකරුවන් විදියට මෙ කලාවට ඔබව අවශ්යයි ඔබට ජයම වෙිවා ud folded_hands folded_hands,රන්ජන් මහත්මයා ඔය දේශපාලනය නම් කතා කරන්න එපා ඒක වෙලාව නෙවෙයි මෙ ආයම ඔබට හිරෙ දාන්න වැඩ කරයි එහෙම නැති නමි ඇත්ත කතා කරන්න ගිහිල්ලා ජිවිතය දන් දෙන්නට උනා මෙ ලෝකයේ වෙලාව එන තුරැ රැදි සිටින්න මෙ කලාකරුවන් විදියට මෙ කලාවට ඔබව අවශ්යයි ඔබට ජයම වෙිවා   ,ud folded_hands folded_hands,ud folded_hands, positive love,positive,love,0,0
රන්ජන් කියන්නේ වෙනම කියවිය යුතු  චරිතයක්     thumbs_up,රන්ජන් කියන්නේ වෙනම කියවිය යුතු  චරිතයක්     ,   thumbs_up, thumbs_up, neutral joy,neutral,joy,1,2
රන්ජන් අයියා  ඔයාට  අපි බාහාරෙන්  ගාමන්ට්  එකෙදි  ඔයාට  කාතා  කලා  අද  මම  කුවෙට් වල  ලංකාවේ  හොඳ  ඇත්ත ටම  ඔයා මලිමාවට  එකතු ව්ම සතුට ක්  ජය වේවා thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up,රන්ජන් අයියා  ඔයාට  අපි බාහාරෙන්  ගාමන්ට්  එකෙදි  ඔයාට  කාතා  කලා  අද  මම  කුවෙට් වල  ලංකාවේ  හොඳ  ඇත්ත ටම  ඔයා මලිමාවට  එකතු ව්ම සතුට ක්  ජය වේවා     ,thumbs_up thumbs_up thumbs_up thumbs_up thumbs_up,thumbs_up, positive joy,positive,joy,0,2
පාර්ලිමේන්තුවේ හොරු ඇද්ද බොලට මෙදා පාර අපි සැවොම ජනතාවිමුක්ති පෙරමුණට  ජයවෙිවාvictory_hand,පාර්ලිමේන්තුවේ හොරු ඇද්ද බොලට මෙදා පාර අපි සැවොම ජනතාවිමුක්ති පෙරමුණට  ජයවෙිවා,victory_hand,victory_hand, positive joy,positive,joy,0,2
ජාතික ජන බලවේගයට ඔබ එකතු වෙන්න ඔබ රටට අවශ්ය කෙනෙක් ජයවේවාud raised_fist raised_fist oncoming_fist leftfacing_fist flexed_biceps flexed_biceps,ජාතික ජන බලවේගයට ඔබ එකතු වෙන්න ඔබ රටට අවශ්ය කෙනෙක් ජයවේවා      ,ud raised_fist raised_fist oncoming_fist leftfacing_fist flexed_biceps flexed_biceps,ud flexed_biceps leftfacing_fist raised_fist oncoming_fist, positive joy,positive,joy,0,2
කවදත් ඇත්ත කතා කල  ඔබට   මාලිමාවට ජයවේවාud red_heart  red_heart  red_heart ,කවදත් ඇත්ත කතා කල  ඔබට   මාලිමාවට ජයවේවා      ,ud red_heart  red_heart  red_heart , ud red_heart, positive love,positive,love,0,0
ඒක ඇත්තපොහොට්ටු වේ තමයි පට්ට හොරු රැල ඉන්නෙ   thumbs_up woozy_face face_with_raised_eyebrow woozy_face beaming_face_with_smiling_eyes grinning_face_with_smiling_eyes rolling_on_the_floor_laughing,ඒක ඇත්තපොහොට්ටු වේ තමයි පට්ට හොරු රැල ඉන්නෙ         ,  thumbs_up woozy_face face_with_raised_eyebrow woozy_face beaming_face_with_smiling_eyes grinning_face_with_smiling_eyes rolling_on_the_floor_laughing, beaming_face_with_smiling_eyes woozy_face thumbs_up grinning_face_with_smiling_eyes rolling_on_the_floor_laughing face_with_raised_eyebrow, negative sarcasm,negative,sarcasm,2,3
මාලිමාවට ජයවෙිවා flexed_biceps flexed_biceps red_heart  red_heart  thumbs_up thumbs_up thumbs_up,මාලිමාවට ජයවෙිවා         ,flexed_biceps flexed_biceps red_heart  red_heart  thumbs_up thumbs_up thumbs_up,flexed_biceps  thumbs_up red_heart, positive joy,positive,joy,0,2
මූට   මූල   මතක  නැහැ   මූගේ   ජීවීතේම   මොන්ගල්     angry_face    ,මූට   මූල   මතක  නැහැ   මූගේ   ජීවීතේම   මොන්ගල්         , angry_face    , angry_face, negative anger,negative,anger,2,4
මේ මනුස්සය ලුණු ඇඹුල් එක්ක පදමට දෙනව ගේම මේ වගේ මිනිස්සු තව එක්කෙනෙක් හිටිය නම් මේ රට ගොඩ thumbs_up light_skin_tone,මේ මනුස්සය ලුණු ඇඹුල් එක්ක පදමට දෙනව ගේම මේ වගේ මිනිස්සු තව එක්කෙනෙක් හිටිය නම් මේ රට ගොඩ  ,thumbs_up light_skin_tone,light_skin_tone thumbs_up, positive joy,positive,joy,0,2
ජාතික ජන බල වේගයට ජය වේවා  red_heart  red_heart  folded_hands,ජාතික ජන බල වේගයට ජය වේවා      ,red_heart  red_heart  folded_hands, folded_hands red_heart, positive joy,positive,joy,0,2
මාලිමාවට ජයවේවා     flexed_biceps flexed_biceps,මාලිමාවට ජයවේවා      ,   flexed_biceps flexed_biceps, flexed_biceps, positive joy,positive,joy,0,2
